iter	Passed	Remaining
863	1402	220
864	1403	219
865	1404	217
866	1405	215
867	1407	213
868	1408	212
869	1409	210
870	1410	208
871	1411	207
872	1412	205
873	1414	203
874	1415	202
875	1416	200
876	1417	198
877	1418	197
878	1419	195
879	1421	193
880	1422	192
881	1423	190
882	1424	188
883	1425	187
884	1426	185
885	1427	183
886	1429	182
887	1430	180
888	1432	178
889	1433	177
890	1434	175
891	1435	173
892	1439	172
893	1440	170
894	1441	169
895	1443	167
896	1444	165
897	1446	164
898	1447	162
899	1448	160
900	1449	159
901	1451	157
902	1453	156
903	1454	154
904	1455	152
905	1456	151
906	1458	149
907	1460	147
908	1461	146
909	1462	144
910	1463	143
911	1464	141
912	1465	139
913	1469	138
914	1470	136
915	1471	134
916	1472	133
917	1474	131
918	1475	130
919	1476	128
920	1477	126
921	1478	125
922	1479	123
923	1480	121
924	1481	120
925	1484	118
926	1485	116
927	1486	115
928	1488	113
929	1491	112
930	1492	110
931	1494	109
932	1495	107
933	1496	105
934	1498	104
935	1499	102
936	1500	100
937	1502	99
938	1503	97
939	1504	96
940	1506	94
941	1507	92
942	1508	91
943	1509	89
944	1510	87
945	1511	86
946	1512	84
947	1514	83
948	1515	81
949	1516	79
950	1517	78
951	1518	76
952	1519	74
953	1520	73
954	1522	71
955	1523	70
956	1524	68
957	1525	66
958	1526	65
959	1529	63
960	1530	62
961	1532	60
962	1533	58
963	1534	57
964	1536	55
965	1537	54
966	1538	52
967	1540	50
968	1541	49
969	1542	47
970	1544	46
971	1545	44
972	1546	42
973	1547	41
974	1548	39
975	1549	38
976	1550	36
977	1551	34
978	1552	33
979	1553	31
980	1554	30
981	1555	28
982	1556	26
983	1558	25
984	1559	23
985	1560	22
986	1561	20
987	1562	18
988	1563	17
989	1564	15
990	1565	14
991	1566	12
992	1567	11
993	1568	9
994	1570	7
995	1571	6
996	1572	4
997	1573	3
998	1574	1
999	1575	0
